semester,feature,raw_feature,family,underperforming_mean_shap,underperforming_mean_abs_shap,other_students_mean_shap,difference_under_minus_other,difference_ci_lower,difference_ci_upper,consistent_negative_signal
0,Zscore,numeric__Zscore,Pre-academic,-0.03464404051012043,0.0699799456861828,0.04572794462686618,-0.08037198513698661,-0.12555340104326346,-0.039132332677777104,True
0,English,numeric__English,Pre-academic,-0.18973881611778154,0.23756887658496173,0.07645148108998935,-0.2661902972077709,-0.34838768950695953,-0.1814486967766644,True
0,Missing: English,numeric__missingindicator_English,Pre-academic,0.0003964600158687269,0.0003964600158687269,0.00010917014929718526,0.00028728986657154166,-5.421010862427522e-20,0.0008618695997146254,False
0,Gender_M,categorical__Gender_M,Demographic,-0.042000649273653407,0.10207134532783209,0.023470534713757093,-0.0654711839874105,-0.10687728413079986,-0.021587795801254278,True
0,Department_BPM,categorical__Department_BPM,Demographic,0.006246733669044858,0.09213932161841172,0.0272955101625656,-0.02104877649352074,-0.06348582587561899,0.021048776493520726,False
0,Department_FSM,categorical__Department_FSM,Demographic,0.0002284350536096508,0.0020559154824868575,0.0005760536134504237,-0.00034761855984077287,-0.001502208776454769,0.0007200670168130298,False
0,District_Badulla,categorical__District_Badulla,Demographic,0.00812835753871227,0.021884039527302262,-0.0047845850395095615,0.012912942578221832,-0.00543702845398814,0.03873882773466549,False
0,District_Batticaloa,categorical__District_Batticaloa,Demographic,4.721995513360578e-05,0.002219337891279486,-0.0007226706176969276,0.0007698905728305334,-0.0012318249165288537,0.0035414966350204545,False
0,District_Colombo,categorical__District_Colombo,Demographic,-0.019271837313136555,0.03272576147513754,-0.0046480067022659135,-0.014623830610870641,-0.030038138552058613,0.0023714319909519926,False
0,District_Galle,categorical__District_Galle,Demographic,0.007671237362938638,0.01558220089346911,0.0019386550944382962,0.005732582268500342,-0.008598873402750515,0.025796620208251537,False
0,District_Gampaha,categorical__District_Gampaha,Demographic,-0.012998589817031172,0.012998589817031172,0.04037726208865239,-0.05337585190568356,-0.07535414386684737,-0.03139755994451973,True
0,District_Kalutara,categorical__District_Kalutara,Demographic,0.03406208322446117,0.0613527884585174,0.007743815672821445,0.026318267551639726,-0.015166459267046616,0.07137157302139585,False
0,District_Kandy,categorical__District_Kandy,Demographic,-0.009688887584219333,0.009688887584219333,0.0015446052670494586,-0.011233492851268791,-0.02246698570253758,-0.002808373212817198,True
0,District_Kegalle,categorical__District_Kegalle,Demographic,-0.0030470027975387343,0.018064373728265345,0.004050053407908625,-0.00709705620544736,-0.03264645854505786,0.011355289928715775,False
0,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.005419910104241909,0.005419910104241909,0.0024350320758188275,-0.007854942180060737,-0.01570988436012147,-0.0019637355450151848,True
0,District_Matara,categorical__District_Matara,Demographic,-0.0055840371040854165,0.016752111312256252,-0.007431308357799873,0.0018472712537144567,-0.008444668588408952,0.01609764949665456,False
0,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,-0.0011420978161169094,0.0011420978161169094,0.0005131164101394814,-0.0016552142262563907,-0.004965642678769173,-4.336808689942018e-19,True
0,District_Puttalam,categorical__District_Puttalam,Demographic,-0.0033842288457251,0.0033842288457251,-0.0009318891024460411,-0.002452339743279059,-0.007357019229837176,-8.673617379884035e-19,True
0,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.0005135917240041682,0.0027080290902037965,0.00046284155364802545,5.075017035614278e-05,-0.003045010221368587,0.002436008177094869,False
0,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,0.021121964353197326,0.057483827037182605,-0.009392706217602333,0.030514670570799658,-0.0008718477305942798,0.061901188872193605,False
0,MediumAL_S,categorical__MediumAL_S,Demographic,0.0013441785834544713,0.05242296475472421,0.0028052422611223693,-0.001461063677667898,-0.030682337231025862,0.030390124495492287,False
0,MediumAL_T,categorical__MediumAL_T,Demographic,-0.009148460876486809,0.04639576587361168,0.00988715647520935,-0.01903561735169616,-0.047731100225148565,0.007386955987225374,False
1,Zscore,numeric__Zscore,Pre-academic,-0.005330137541775248,0.010766721496135877,0.007035444791512625,-0.012365582333287873,-0.019113625218031255,-0.005815465278441704,True
1,English,numeric__English,Pre-academic,-0.052477062032417844,0.06570567334931582,0.021144588111792307,-0.07362165014421015,-0.09601995538535267,-0.04942755587156177,True
1,S1,numeric__S1,Semester GPA,-0.22632424020586428,0.2750388233173539,0.287958471452692,-0.5142827116585562,-0.6137991877797156,-0.41292745900488875,True
1,Missing: English,numeric__missingindicator_English,Pre-academic,-0.0011368505774673866,0.0011368505774673866,-0.00031304581118667043,-0.0008238047662807162,-0.0024714142988421493,2.168404344971009e-19,False
1,Gender_M,categorical__Gender_M,Demographic,-0.009094491385279539,0.02210172906422585,0.0050821256207595105,-0.01417661700603905,-0.023218999745026114,-0.004674452093883147,True
1,Department_BPM,categorical__Department_BPM,Demographic,0.0016168127292062638,0.023847987755792388,0.007064768664575195,-0.005447955935368932,-0.01634386780610679,0.0053600856783468515,False
1,Department_FSM,categorical__Department_FSM,Demographic,0.0014718499476826137,0.013246649529143525,0.003711621607199635,-0.0022397716595170215,-0.010238956157792096,0.0046395270089995425,False
1,District_Badulla,categorical__District_Badulla,Demographic,0.003366568192350195,0.00906383744094283,-0.0019816588690757,0.005348227061425895,-0.002251885078495113,0.015059481462436072,False
1,District_Batticaloa,categorical__District_Batticaloa,Demographic,3.843488068585825e-05,0.0018064393922353397,-0.0005882207826705268,0.0006266556633563851,-0.0007175207345430591,0.002882616051439372,False
1,District_Colombo,categorical__District_Colombo,Demographic,0.0017950167188378644,0.0030481415980265617,0.00043292445885014956,0.0013620922599877148,-0.00018452668792401125,0.0027978111286234143,False
1,District_Galle,categorical__District_Galle,Demographic,-0.002053256605190245,0.004170677479292686,-0.0005188936529421002,-0.0015343629522481448,-0.006416426891219516,0.002301544428372217,False
1,District_Gampaha,categorical__District_Gampaha,Demographic,-0.006484574890632335,0.006484574890632335,0.020142906544331356,-0.02662748143496369,-0.03759173849641933,-0.015663224373508054,True
1,District_Kalutara,categorical__District_Kalutara,Demographic,0.009229992992173803,0.016625107859397397,0.0020983849966492558,0.007131607995524546,-0.004109740200810757,0.019339953886168264,False
1,District_Kandy,categorical__District_Kandy,Demographic,0.001175701401467746,0.001175701401467746,-0.0001874306582050027,0.0013631320596727485,0.000340783014918187,0.002726264119345498,False
1,District_Kegalle,categorical__District_Kegalle,Demographic,-0.0030901324535410114,0.018320070974564572,0.004107381025203579,-0.00719751347874459,-0.03310856200222513,0.011516021565991349,False
1,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.002391403081881302,0.002391403081881302,0.0010743984860626136,-0.0034658015679439155,-0.006931603135887832,-0.0008664503919859786,True
1,District_Matara,categorical__District_Matara,Demographic,-0.0024740765183375035,0.007422229555012511,-0.0032925328334775096,0.0008184563151400061,-0.00374151458349717,0.007950718489931487,False
1,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,-0.0009202658379129452,0.0009202658379129452,0.000413452767757989,-0.0013337186056709342,-0.004001155817012805,2.168404344971009e-19,False
1,District_Puttalam,categorical__District_Puttalam,Demographic,-0.001629857192092547,0.001629857192092547,-0.00044880125579360014,-0.0011810559362989467,-0.003543167808896841,2.168404344971009e-19,False
1,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.000859363493644522,0.00453118933012566,0.0007744461523753001,8.491734126922187e-05,-0.00450061908726874,0.004076032380922632,False
1,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.0007183554119219012,0.0019550178932051746,0.0003194447841678021,-0.0010378001960897032,-0.002105251826353398,-2.965143417399155e-05,True
1,MediumAL_S,categorical__MediumAL_S,Demographic,-0.00011841855239320162,0.004618323543334833,-0.0002471343702118983,0.00012871581781869666,-0.0026264462625905046,0.002728775337756368,False
1,MediumAL_T,categorical__MediumAL_T,Demographic,-0.002897460725277863,0.014694265106766302,0.0031314171813562,-0.006028877906634063,-0.015569352235751621,0.002251830889753958,False
2,Zscore,numeric__Zscore,Pre-academic,-0.005924133217850204,0.011966575339321684,0.007819481554667275,-0.013743614772517478,-0.021374962271479662,-0.006650497110127504,True
2,English,numeric__English,Pre-academic,-0.05811825089194524,0.07276891389957628,0.023417592930961732,-0.08153584382290698,-0.10708832624394977,-0.05519505442473482,True
2,S1,numeric__S1,Semester GPA,-0.09796688024706136,0.11905351120461076,0.12464591977983697,-0.22261280002689832,-0.2668897661701246,-0.178428847203441,True
2,S2,numeric__S2,Semester GPA,0.08752795719500318,0.17292369647112893,0.3371875171105769,-0.2496595599155737,-0.3304230852925634,-0.17102865513417118,False
2,Maths 2,numeric__Maths 2,Module grade,-0.028558422750931043,0.030020401344346942,-0.04298679350363983,0.014428370752708784,0.007475575447249829,0.021815010372728212,False
2,MgtAccounting,numeric__MgtAccounting,Module grade,0.004527531026332497,0.00887049548004412,0.01077528146598325,-0.006247750439650752,-0.010333967560419715,-0.0021779101221312065,False
2,Missing: English,numeric__missingindicator_English,Pre-academic,-5.06849342513625e-05,5.06849342513625e-05,-1.3956721025737454e-05,-3.672821322562505e-05,-0.00011018463967687518,1.3552527156068805e-20,False
2,Gender_M,categorical__Gender_M,Demographic,-0.006410981064848834,0.015580174913411696,0.0035825435138251956,-0.009993524578674029,-0.01625973458476153,-0.0029696973714195035,True
2,Department_BPM,categorical__Department_BPM,Demographic,0.00031821200221700697,0.004693627032700856,0.0013904480966438792,-0.0010722360944268722,-0.003234002413835888,0.0010549419638715995,False
2,Department_FSM,categorical__Department_FSM,Demographic,0.003510538961325064,0.03159485065192558,0.008852663467689292,-0.0053421245063642285,-0.024421140600522185,0.010875039173670036,False
2,District_Badulla,categorical__District_Badulla,Demographic,0.0016104420401456315,0.004335805492699779,-0.0009479525052362249,0.0025583945453818563,-0.0010772187559502557,0.007203900430417332,False
2,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.00012337469747022325,0.0057986107811004795,-0.0018881692830225426,0.0020115439804927657,-0.0032184703687884253,0.009253102310266725,False
2,District_Colombo,categorical__District_Colombo,Demographic,0.003460412002836214,0.005876171325570928,0.0008345866520376104,0.0026258253507986033,-0.00042580951634571865,0.00539358720704578,False
2,District_Galle,categorical__District_Galle,Demographic,-0.0006874550687912857,0.0013963931084822988,-0.00017373185162388477,-0.0005137232171674009,-0.002311754477253304,0.0007472337704253106,False
2,District_Gampaha,categorical__District_Gampaha,Demographic,-0.006063276213673843,0.006063276213673843,0.01883423480865836,-0.024897511022332203,-0.035149427325645466,-0.014645594719018943,True
2,District_Kalutara,categorical__District_Kalutara,Demographic,0.008208036451192462,0.01478435481269004,0.0018660491460542315,0.006341987305138231,-0.0036547045487237274,0.017198609641052832,False
2,District_Kandy,categorical__District_Kandy,Demographic,0.0024795651109852197,0.0024795651109852197,-0.0003952929887077875,0.0028748580996930074,0.0007187145249232512,0.005749716199386017,False
2,District_Kegalle,categorical__District_Kegalle,Demographic,-0.00111155013973893,0.006589904399880799,0.0014774641608952235,-0.0025890143006341536,-0.011909465782917107,0.004142422881014646,False
2,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.0007702129169095809,0.0007702129169095809,-0.00034603768730720263,0.0011162506042167834,0.00027906265105419597,0.0022325012084335673,False
2,District_Matara,categorical__District_Matara,Demographic,-0.002533267987169066,0.007599803961507198,-0.0033713056010718757,0.0008380376139028095,-0.0038310290921271337,0.007302899206867346,False
2,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,-0.00032696316745161913,0.00032696316745161913,0.0001468964955217419,-0.00047385966297336103,-0.0014215789889200834,-1.0842021724855044e-19,True
2,District_Puttalam,categorical__District_Puttalam,Demographic,-0.001187011755318727,0.001187011755318727,-0.0003268583094355914,-0.0008601534458831356,-0.002580460337649407,0.0,False
2,District_Ratnapura,categorical__District_Ratnapura,Demographic,-4.4401339783460825e-05,0.0002341161552218844,-4.001385561513464e-05,-4.387484168326183e-06,-0.00021059924007965611,0.0002632490500995701,False
2,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.0008963145390839339,0.002439337036747416,0.00039858125898724236,-0.0012948957980711763,-0.002626788618944386,3.699702280203347e-05,False
2,MediumAL_S,categorical__MediumAL_S,Demographic,-5.5134521808567504e-05,0.00215024635053412,-0.00011506334986135787,5.9928828052790364e-05,-0.0012465196234980411,0.001270491154719157,False
2,MediumAL_T,categorical__MediumAL_T,Demographic,-0.0021721883890288107,0.011016098258646112,0.002347582482552876,-0.004519770871581686,-0.01133315681232423,0.0017539409352406543,False
3,Zscore,numeric__Zscore,Pre-academic,-0.00617846787257595,0.012480323881978608,0.00815518722977739,-0.014333655102353338,-0.02208264506982143,-0.006937490441120563,True
3,English,numeric__English,Pre-academic,0.0030860042114135102,0.003863935533290501,-0.0012434440007576138,0.004329448212171124,0.002934352278897235,0.005652403316725141,False
3,S1,numeric__S1,Semester GPA,-0.08535849949302084,0.10373127173360147,0.10860393485535615,-0.19396243434837698,-0.23180842230205317,-0.15447657079189206,True
3,S2,numeric__S2,Semester GPA,0.051415425163521655,0.10157834890517048,0.19806973803179606,-0.1466543128682744,-0.19457834038226915,-0.10139634512083125,False
3,S3,numeric__S3,Semester GPA,-0.22509266439557193,0.22509266439557193,0.09303730447470979,-0.3181299688702817,-0.3718555778866309,-0.26696827083074154,True
3,Maths 2,numeric__Maths 2,Module grade,-0.019684293839207483,0.020691983110789947,-0.029629250953762693,0.00994495711455521,0.005065518049682237,0.015335024296605437,False
3,MgtAccounting,numeric__MgtAccounting,Module grade,0.003398174340092558,0.006657820774474188,0.008087473011673658,-0.0046892986715810995,-0.007866713367790048,-0.001714544032640025,False
3,StatsII,numeric__StatsII,Module grade,0.017345871393031582,0.020938802176398305,-0.019256026140420508,0.03660189753345209,0.026252694733537064,0.04680031006196372,False
3,MIS,numeric__MIS,Module grade,-0.00936296225033596,0.00936296225033596,-0.0007163035725821353,-0.008646658677753823,-0.010780993450709314,-0.006532886398342667,True
3,Missing: English,numeric__missingindicator_English,Pre-academic,-0.00015361516409404435,0.00015361516409404435,-4.2299827794012003e-05,-0.00011131533630003235,-0.000333946008900097,2.710505431213761e-20,False
3,Missing: StatsII,numeric__missingindicator_StatsII,Module grade,-0.050494971287545785,0.0690219031988036,0.009918937118729671,-0.06041390840627546,-0.09990012305089994,-0.020927693761650976,True
3,Missing: MIS,numeric__missingindicator_MIS,Module grade,0.006196344229744031,0.006196344229744031,0.006196344229744029,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,False
3,Gender_M,categorical__Gender_M,Demographic,-0.0008920358197670986,0.0021678544922246923,0.0004984817624448428,-0.0013905175822119414,-0.0022699259990703042,-0.00045849498656718064,True
3,Department_BPM,categorical__Department_BPM,Demographic,0.0006941995560690449,0.010239443452018413,0.0030333502341277838,-0.002339150678058739,-0.007281549691376396,0.0022269091737486487,False
3,Department_FSM,categorical__Department_FSM,Demographic,0.0022323526932447393,0.020091174239202654,0.005629411139486735,-0.0033970584462419953,-0.01540808652402619,0.007036763924358418,False
3,District_Badulla,categorical__District_Badulla,Demographic,0.0007505464841669878,0.0020207020727572747,-0.00044179324820531714,0.0011923397323723049,-0.0005020377820514969,0.0033573776674693852,False
3,District_Batticaloa,categorical__District_Batticaloa,Demographic,1.6930022504993202e-05,0.0007957110577346799,-0.0002591029531198959,0.0002760329756248891,-0.0004416527609998222,0.0012697516878744893,False
3,District_Colombo,categorical__District_Colombo,Demographic,0.0043216822488895525,0.007338705705661505,0.0010423089263113443,0.0032793733225782084,-0.0005317902685261955,0.0067360100679984825,False
3,District_Galle,categorical__District_Galle,Demographic,-0.002453164389659806,0.004982990166496479,-0.000619957304995549,-0.001833207084664257,-0.007666138717686892,0.002749810626996386,False
3,District_Gampaha,categorical__District_Gampaha,Demographic,-0.002813696359001977,0.002813696359001977,0.008740129269750107,-0.011553825628752084,-0.016311283240591178,-0.006796368016912991,True
3,District_Kalutara,categorical__District_Kalutara,Demographic,0.009145861401517645,0.01647356963285407,0.0020792581709055307,0.007066603230612115,-0.003952506891698302,0.019163669777931158,False
3,District_Kandy,categorical__District_Kandy,Demographic,0.0038133663368091156,0.0038133663368091156,-0.0006079279667376848,0.004421294303546801,0.0011053235758867004,0.0088425886070936,False
3,District_Kegalle,categorical__District_Kegalle,Demographic,-4.9059447926674436e-05,0.00029085244127956977,6.520945252365417e-05,-0.00011426890045032861,-0.0005256369420715116,0.0001828302407205258,False
3,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.0013646051602171055,0.0013646051602171055,0.0006130834777786995,-0.001977688637995805,-0.00395537727599161,-0.0004944221594989513,True
3,District_Matara,categorical__District_Matara,Demographic,-0.0012755689591591737,0.0038267068774775204,-0.0016975435675766696,0.00042197460841749595,-0.0019290267813371251,0.003677207301923894,False
3,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.00026218765553439704,0.00026218765553439704,-0.00011779445393574346,0.0003799821094701405,-5.421010862427522e-20,0.0011399463284104219,False
3,District_Puttalam,categorical__District_Puttalam,Demographic,-0.0006973156965482931,0.0006973156965482931,-0.00019201446716547214,-0.000505301229382821,-0.0015159036881484634,3.2526065174565133e-19,False
3,District_Ratnapura,categorical__District_Ratnapura,Demographic,-0.0007344071863073319,0.003872328800529569,-0.0006618373062374375,-7.256988006989443e-05,-0.0034833542433549336,0.004354192804193667,False
3,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.006197553793036085,0.016866760322819727,0.0027559842954172587,-0.008953538088453344,-0.0181628915508625,-0.00034108716527441336,True
3,MediumAL_S,categorical__MediumAL_S,Demographic,-1.0558269246161683e-05,0.00041177250060030185,-2.2034648861554723e-05,1.147637961539304e-05,-0.00023870869600017505,0.00024559452376941084,False
3,MediumAL_T,categorical__MediumAL_T,Demographic,-0.000258408071100782,0.0013104980748682518,0.00027927331907786387,-0.0005376813901786458,-0.0013482160231345149,0.00020865247977081783,False
